text,anas,billa,rupu,label
"I miss being healthy . I ’ m alway in pain , broke and unemployed .",0,0,0,0
Mr bean fan from India,1,1,1,1
"I like the view ,  the reason why iwant to go in france",1,1,1,1
I ’ ll get the ps5 slim . Instead of that space heater,0,1,0,0
Americans who think they did it all bruv smh . I ’ m convinced half of Americans don ’ t even know the allies sailed from England to land in Normandy . Idiots,0,0,0,0
"I ’ m getting the iPhone 11 this week and honestly I ’ m excited since my XR became slow when I updated it to IOS 13 , also one for photos and the performance on the phone",0,1,0,0
"its less that i dont trust the vaccine , more that its not right to have any drugs forced on u otherwise u cant travel . it has to b a choice , yeah u may disagree with those who dont take it but whats it to u ? were all different",0,0,0,0
I got my iPhone 11 today and I am so happy,1,1,1,1
I ’ m not good enough for anyoneNo one will love meI ’ m gon na die alone,0,0,0,0
No new iPhone is bang for your buck ...,0,0,0,0
I have all the symptoms,0,0,0,0
the worst cl final,0,0,0,0
I did not know I was depressed my whole life,0,0,0,0
"I honestly can not wait to get mine , getting the yellow ",1,1,1,1
"I think Liverpool is a great team , but I wanted Tottenham to win . Son Heung-min has been a fan even before he was with Tottenham for the past few years and I loved their style of play . I really think Tottenham could have won without Harry Kane .",1,1,1,1
Wasnt d-day rushed ahead of the planned time due to soviet advances in the east ? The allies were afraid that after taking germany the soviets wouldnt stop and would just keep marching west and eventually occupying france and the benelux as well,0,0,1,0
I actually think the resume function is a big deal . I hope Sony add it to the PS5 .,1,1,1,1
This is the least biased video on d day I ’ ve seen,1,1,0,1
helo mr.bean,1,1,1,1
Purple looks better,1,1,1,1
Who actually has the iPhone 11 ?,1,0,1,1
ALLISSON THE GREAT,1,1,1,1
"A band called Sabaton , made a song about this & quot ; Primo Victoria You should check it out . Great video",1,1,1,1
"the normandy is not bombed by b 17 , but bombed by liberator",0,0,0,0
Extremely Good ContentI ’ m suffering depression for 10 yearsIt ’ s time to find help,1,1,1,1
Knew it 2019 was gon b my year,1,1,1,1
premier league  champions legue both winner,1,1,1,1
